Gene Symbol	Gene ID	
WDR36	100516248; 100627271	
OCIAD2	100738638	
PAM	100526040	
SLC45A4	100154055	
SLC9A3R2	100192448	
TEAD3	-	
MARCH6	100170772	
STAT1	396655	
HNRNPA1L2	-	
DAZAP2	100196906	
ssc-mir-206	-	
XRCC5	100514133	
VPS39	100513254	
SLC40A1	100512076	
C19ORF35	-	
HCFC1	100523834	
KIAA1462	100518508	
CLSTN2	100157330	
CYP51	403334	
DCAF6	100514228	
E2F4	100522677	
ZNF330	-	
SENP2	100738022	
C11ORF49	-	
RP1L1	100153380	
NR2C2	100513111	
SCARNA6	-	
USE1	100517081	
VBP1	100514622	
PARN	100515887	
U6	-	
NLGN4X	100521700	
EFNA1	100144501	
BMPR2	100127483	
KIAA1328	100520966	
SRPK3	100240720	
MPP1	100517992	
TCHP	100518693	
KEL	100511542	
PTCD3	100517886	
NSL1	100525770	
GRAP2	100516438	
GPC4	100156029	
TACC1	100523215; 100624903	
DHCR7	-	
NAMPT	595123	
ITGB6	100037276	
DEM1	-	
ADAMTS6	100513765	
MYO5A	594849	
A2ML1	100152492	
ATP9A	100136901	
7SK	-	
CRB1	100521033	
RCE1	100514389	
BAD	100521065	
PDIA2	100738360	
SNX16	100157914	
CACNG4	100523919	
GUCY2C	397193	
FGD6	100517825	
FAM82B	-	
PRL	396965	
TTC13	100157092	
SNORA81	-	
UAP1	100156649	
CATSPER1	100689223	
PSMA2	100620420	
E4F1	100517704	
PPIL4	100625026	
U6	-	
PDE3A	396555	
NEO1	100156504	
CD69	397165	
NAA30	100152018	
DYNLRB1	100156707	
GPD1	100153250	
AP1G1	100514713	
UBE2N	100519842	
C15ORF41	-	
TPO	445522	
5S_rRNA	-	
RAB19	100514435	
MDC1	100144453	
C9ORF4	-	
GATC	100153423	
TOPORS	100513812	
TPCN1	100151806	
AIG1	100151943	
ARMC6	100512037	
BAALC	100170128	
HIVEP2	100525369	
U1	-	
ARAP1	100511767	
FOS	100144486	
TMEM117	100524623	
POLR2C	100620737	
USH1G	100512251	
IL1R2	100628112	
UBE4B	100737278	
TTC5	100157553	
SNORA70	-	
KCTD17	100512279	
ZNF484	100513652; 100624662	
SNORA25	-	
CD33	100622684	
KCNA10	100049654; 100153594	
COPB2	100156939	
INSL6	-	
AAK1	100512341	
PRPF18	100513617	
U8	-	
UBXN2B	100153716	
HCRT	397305	
MT-ND4L	-	
CHIC2	100524031	
MAFK	100521780	
DHRS9	100519057	
CCNT1	100737376	
DAB2IP	100286868	
RETN	396674	
DNAH2	100511777	
CBR3	100512990	
ASPA	100142661	
EXOC2	100520314	
PNPLA4	100294680	
EPB49	-	
SMU1	100511830	
PLEKHM2	100522681	
IFIT5	100151816	
H2AFZ	100141311	
C20ORF72	-	
STAG2	100154944	
POU2F1	397501	
MED25	100519902	
SNX12	100155023	
TXLNA	100522017	
OSBPL10	100526184	
JOSD1	100520958	
STUB1	100511251	
CLEC7A	100038025	
HEY2	100152404	
STX4	100523599	
RLF	100620967	
PDK3	100153858	
CNTN1	100521555	
PPA1	100155201	
C1QA	445461	
ASB9	100158057	
CHID1	100511064	
SNORA42	-	
DPF2	100513580	
HEATR8	-	
RPL10A	100037993	
SNORA73	-	
SCARA5	100524281	
CAR	654317; 397333	
HSPB9	100524041	
CKAP2L	100516489	
ZNF232	-	
DMD	497636	
PDCD4	100157112	
C19ORF18	-	
APOBEC4	100515680	
ICAM1	-	
U6	-	
DSTYK	100525530	
MLF2	100736734	
ZNHIT3	100512308	
CASZ1	100510911	
SEL1L3	100518082	
DPP4	397492	
RPL7A	-	
LECT1	100737209	
GPR160	100626150	
TMPRSS11D	100512727	
WDR61	100153204	
TRAPPC9	100152043	
TRIM15	100144461	
CPB1	397341	
HPCAL4	100144585	
TAMM41	100524902	
PSMA1	100516779	
ROBO1	100517310	
MCL1	397648	
UPB1	100155919	
ABLIM3	100515194	
ADAM22	100513676	
ZCCHC12	100517990	
RGS14	100524790	
PDIA4	100522203	
U6	-	
F2	100144442	
C19ORF53	-	
CXORF64	-	
TNIP1	100271903	
C6ORF115	-	
SLC2A4	396754	
CSN1S1	445514	
SNORD36	-	
NR3C1	396740	
RWDD2A	100155667	
IDS	100512880	
U6	-	
EPHA8	100518378	
ARHGEF12	100523324	
OR7D2	-	
BCLAF1	100462726	
CDADC1	100620546	
CH242-193E13.5	-	
5S_rRNA	-	
BGLAP	397530	
CXCL14	494467	
DMXL1	100523116	
PNLIP	100157809	
CPSF1	100514403	
TAGLN2	100515893	
PLAUR	100521017	
TFE3	100511298	
U6atac	-	
FAM32A	100511743	
PLXDC1	100517914	
7SK	-	
U6	-	
U6	-	
NEK6	100514624	
PPARD	397297	
NOP2	100516080	
SNORA50	-	
U1	-	
WFDC6	-	
ULK2	100525780	
TBC1D9B	100520777	
MRPL20	100511022	
DAB2	100519746	
SLC35F4	100152395	
LONRF1	100525314	
LPGAT1	100622761; 100525244	
RCBTB2	100154691	
WDR18	100622895	
PICALM	100519857	
ATP1B2	100522212	
MARK1	100624523	
AARS2	100155115	
IDE	100155309	
C1ORF123	-	
OR10R2	-	
ANO5	100520542	
MAPT	100738351	
SLX4	100515719	
CACNB3	100524021	
U6	-	
DMRT1	-	
FAM54A	100157026	
TCEAL4	100153499	
U6	-	
C10ORF90	-	
SMCR7L	100157057	
FAM73B	100155132	
CCDC150	100153055	
LIG1	100520434	
ZNF318	100155116; 100153069	
ZNF365	-	
KCNIP2	-	
ZZEF1	100522276	
PDE1C	100525902	
M6PR	100154117	
U6	-	
RHOH	100513215	
DHDH	-	
RRAS	100516558	
