ID	Symbol
NM_001243456	MEAF1
NM_001243455	GNB1L
NM_001243454	ENY2
NM_001244284	PGLYRP4
NM_001123196	SOCS3
NM_001195335	EPHA3
NM_001159660	DLX5
NM_001031789	RBP1
NM_001167835	CYP2C42
NM_001243292	IMP3
NM_001204902	SCTR
NM_001204901	BMP5
NM_001204901	BMP5
NM_001243410	LACTB2
NM_001243409	HDDC3
NM_001244456	ERG
NM_214258	PRKAR2A
NM_214227	CD3E
NM_214225	KCNJ5
NM_214221	RHO
NM_214220	ESR1
NM_214220	ESR1
NM_214220	ESR1
NM_214219	KCNMA1
NM_214255	ODFP
NM_214217	HTR2A
NM_214214	CCL2
NM_214213	PLN
NM_214248	HSD11B1
NM_214247	NOR-1
NM_214195	AMY2
NM_214195	AMY2
NM_001244733	INMT
NM_001244113	FGB
NM_001244180	CCT3
NM_001244099	C3H16orf5
NM_001244109	SYAP1
NM_001244108	C12H17orf56
NM_001190275	ATG9A
NM_001135258	LOC100155068
NM_001197306	STAT6
NM_001206429	VCAN
NM_001195337	FKBP4
NM_001159660	DLX5
NM_001037151	TPI1
NM_001078685	LOC780436
NM_001112690	APRIL
NM_001128453	ITLN2
NM_001143707	FASTK
NM_001243456	MEAF1
NM_213828	LOC396781
NM_213828	LOC396781
NM_213786	NPW
NM_001244862	ATP5G3
NM_001244861	GTF2E2
NM_001243579	TYMS
NM_214349	PC
NM_214349	PC
NM_001113442	UNC45B
NM_001137639	SLC9A3R2
NM_001244272	ITGA2
NM_001244270	CATSPER2
NM_214348	PSME3
NM_214320	CDKN3
NM_214340	IL4R
NM_214337	PPP1R14A
NM_214336	PTF-BETA
NM_001244285	FUBP3
NM_001244365	UROS
NM_001244363	IFIT1
NM_001244371	PIN1
NM_001244367	UROS
NM_001244366	UROS
NM_001244615	C14H10orf32
NM_001267835	SPRY1
NM_001244614	SIX4
NM_001244613	SMARCD1
NM_001244599	TEX9
NM_001244598	PRKCSH
NM_001244607	MLLT11
NM_001244596	KCNK13
NM_001164842	INHBB
NM_001167641	ATOX1
NM_001110425	CD302
NM_001100190	IGFBP6
NM_001100193	EIF4A3
NM_001243828	TRNP1
NM_001243827	HDAC3
NM_001243826	HSH2D
NM_001243825	SEC61B
NM_001159660	DLX5
NR_046261	RN18S
NR_046250	RN5-8S
NR_045552	LOC100156006
NM_001163648	MASP2
NM_001206344	MUC4
NR_035384	MIR486-1
NR_035378	MIR206
NM_001123130	ID4
NM_001243420	CSDC2
NM_001243419	RBM3
NM_001243418	VPS4A
NM_001159660	DLX5
NM_001113057	NDP
NM_001129974	BD125
NM_001113053	IKBKG
NM_001129973	BD114
NM_001113049	FOXP2
NM_001113049	FOXP2
NM_001123131	ITM2C
NM_001123141	MYH4
NM_001123140	MRPS18B
NM_001123182	RAD52
NM_001123181	RAD51
NM_001206553	WAP-3
NM_001206351	POSTN
NM_001243416	JOSD2
NM_001243415	MRPL13
NM_001244160	DHRS7
NM_001244158	RASGRP2
NM_001244157	FKBP3
NM_001244157	FKBP3
NM_001123191	RHOG
NM_001159306	PDK4
NM_001159305	CENPM
NM_001258377	CHIA
NM_001258360	OLFML2A
NM_001258356	FGFBP3
NM_001258352	TACC2
NR_035391	MIR130B
NM_214182	SLC5A4
NM_214231	PTBP1
NM_001244307	DCTN4
NM_001243430	TCEAL4
NM_001243427	TCP1
NM_001244296	P2RY6
NM_001243426	SNRPD3
NM_001243422	CARKD
NM_001244302	LOC100689257
NM_001243417	CNOT2
NM_001244096	RBMX
NM_001244105	TBCD
NM_001244120	ARSE
NM_001244120	ARSE
NM_214009	C3
NR_038537	MIR340-1
NR_128479	MIR9797
NR_038599	MIRLET7A-2
NM_001244245	SLC33A1
NM_001244243	ABHD14A
NM_001244242	WTAP
NM_001244241	WTAP
NM_001244240	ARHGDIB
NM_001244239	NRBP1
NM_001244238	SQRDL
NR_038574	MIR324
NM_001128454	AQP10
NR_038481	MIR106A
NR_038484	MIR145
NR_038498	MIR27A
NR_038503	MIR128-1
NR_038492	MIR326
NM_001004050	PREP
NM_001003926	ANGPTL3
NM_001185103	PHF6
NM_001099929	CREB1
NM_001134965	GRB10
NM_001078671	LOC780416
NM_001113446	CHORDC1
NM_001113446	CHORDC1
NM_001164842	INHBB
NM_001129975	BD129
NM_001113055	LMO1
NM_001144847	REG3G
NM_001144846	TPRKB
NM_001112696	CIDEA
NM_001244368	SRSF10
NM_001243484	NCEH1
NM_001243483	TFF3
NM_001243482	SLC38A5
NM_001243481	RPL9
NM_001243479	GRRP1
NM_001243480	CD96
NM_001243480	CD96
NM_001243478	EMG1
NM_001244155	SCARB2
NM_001244472	MYL9
NM_001244224	GJA4
NM_001244151	PSMC1
NM_001244150	TAGLN
NM_001244149	COPS3
NM_214309	NUDT2
NM_214308	APOE
NM_214298	HTR1B
NM_214297	TSHR
NR_038508	MIR21
NM_001044538	GNA11
NM_001044619	LOC733696
NM_001123136	LSM2
NM_001123125	HPCA
NM_001123124	HIF1A
NM_214237	CCK
NR_033291	GNAS
NM_001145385	DYNLT1
NM_001123081	ATXN3
NM_001113698	NELFCD
NM_214223	THOP1
NM_214222	CD86
NM_214176	OPRL1
NM_214269	KITLG
NM_214269	KITLG
NM_214268	SELE
NM_214267	CYBA
NM_214266	PRKAA2
NM_214266	PRKAA2
NM_214264	POU2F1
NM_214263	ABAT
NM_214261	CHRM2
NM_214259	BDNF
NM_214324	GCG
NM_214323	JUP
NM_214343	QDPR
NM_214229	EDNRA
NM_214245	SCAMP1
NM_214245	SCAMP1
NM_214244	PCPA1
NM_214239	MMP14
NM_214240	ATP6V1H
NM_214270	UOX
NM_214265	SFTPA1
NM_214235	MLN
NM_214234	GAL
NM_214233	GLRX
NM_214232	AVPR2
NM_001123152	NTF3
NM_001018032	GUCY1B3
NM_001243442	STX12
NM_001246221	VWF
NM_001244221	RBM14
NM_001243315	SPSB2
NM_001243431	HAO1
NM_214364	VDAC1P5
NM_214372	APP
