Probe	Enzyme	Type
GT_MET_SPK_1-1_T7pselection_1	AciI	Negative
GT_MET_SPK_1-1_T7pselection_1_AS	AciI	Negative
GT_MET_SPK_1-1_T7pselection_2	AciI	Negative
GT_MET_SPK_1-1_T7pselection_2_AS	AciI	Negative
GT_MET_SPK_1-1_T7pselection_3	AciI	Negative
GT_MET_SPK_1-1_T7pselection_3_AS	AciI	Negative
GT_MET_SPK_P07919_19-1_T7p_B04_030.ab1selection_1	None	None
GT_MET_SPK_P07919_19-1_T7p_B04_030.ab1selection_1_AS	None	None
GT_MET_SPK_P07919_19-1_T7p_B04_030.ab1selection_2	None	None
GT_MET_SPK_P07919_19-1_T7p_B04_030.ab1selection_2_AS	None	None
GT_MET_SPK_P07919_7-1_T7p_A02_016.ab1selection_1	HpaII	Negative
GT_MET_SPK_P07919_7-1_T7p_A02_016.ab1selection_1_AS	HpaII	Negative
GT_MET_SPK_P07919_9-2_SP6p_E02_008.ab1selection_1	AciI	Positive
GT_MET_SPK_P07919_9-2_SP6p_E02_008.ab1selection_1_AS	AciI	Positive
GT_MET_SPK_P07919_9-2_SP6p_E02_008.ab1selection_2	AciI	Positive
GT_MET_SPK_P07919_9-2_SP6p_E02_008.ab1selection_2_AS	AciI	Positive
GT_MET_SPK_P07922_10-11_sp6_C10_076.ab1selection_1	HinP1I	Positive
GT_MET_SPK_P07922_10-11_sp6_C10_076.ab1selection_1_AS	HinP1I	Positive
GT_MET_SPK_P07922_14-10_T7p_D10_074.ab1selection_1	HpaII	Positive
GT_MET_SPK_P07922_14-10_T7p_D10_074.ab1selection_1_AS	HpaII	Positive
GT_MET_SPK_P07922_14-10_T7p_D10_074.ab1selection_2	HpaII	Positive
GT_MET_SPK_P07922_14-10_T7p_D10_074.ab1selection_2_AS	HpaII	Positive
GT_MET_SPK_P07922_14-10_T7p_D10_074.ab1selection_3	HpaII	Positive
GT_MET_SPK_P07922_14-10_T7p_D10_074.ab1selection_3_AS	HpaII	Positive
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_1	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_1_AS	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_2	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_2_AS	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_3	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_3_AS	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_4	None	None
GT_MET_SPK_P07922_17-10_T7p_H10_066.ab1selection_4_AS	None	None
GT_MET_SPK_P07922_18-14_sp6p_F11_085.ab1selection_1	HinP1I	Negative
GT_MET_SPK_P07922_18-14_sp6p_F11_085.ab1selection_1_AS	HinP1I	Negative
GT_MET_SPK_P07922_18-14_sp6p_F11_085.ab1selection_2	HinP1I	Negative
GT_MET_SPK_P07922_18-14_sp6p_F11_085.ab1selection_2_AS	HinP1I	Negative
