Gene	ID	Count
NM_001001258	1	9
NM_001001259	2	18
NM_001001260	3	3
NM_001001261	4	7
NM_001001262	5	12
NM_001001263	6	6
NM_001001264	7	93
NM_001001265	8	11
NM_001001266	9	8
NM_001001267	10	12
NM_001001532	11	18
NM_001001533	12	7
NM_001001534	13	68
NM_001001535	14	9
NM_001001536	15	42
NM_001001537	16	12
NM_001001538	17	7
NM_001001539	18	25
NM_001001540	19	4
NM_001001541	20	7
NM_001001542	21	6
NM_001001544	22	13
NM_001001545	23	6
NM_001001546	24	1
NM_001001587	25	5
NM_001001617	26	4
NM_001001618	27	13
NM_001001619	28	1
NM_001001620	29	5
NM_001001621	30	11
NM_001001622	31	12
NM_001001623	32	7
NM_001001624	33	6
NM_001001625	34	11
NM_001001626	35	6
NM_001001627	36	4
NM_001001628	37	15
NM_001001629	38	7
NM_001001630	39	7
NM_001001631	40	9
NM_001001632	41	14
NM_001001633	42	5
NM_001001635	43	6
NM_001001636	44	4
NM_001001637	45	11
NM_001001638	46	11
NM_001001639	47	8
NM_001001640	48	29
NM_001001641	49	22
NM_001001642	50	48
NM_001001643	51	32
NM_001001644	52	178
NM_001001645	53	19
NM_001001646	54	8
NM_001001647	55	7
NM_001001648	56	16
NM_001001769	57	7
NM_001001770	58	17
NM_001001771	59	17
NM_001001859	60	36
NM_001001860	61	7
NM_001001861	62	3
NM_001001862	63	9
NM_001001864	64	20
NM_001001865	65	7
NM_001001866	66	3
NM_001001867	67	1
NM_001001868	68	4
NM_001001907	69	10
NM_001001908	70	3
NM_001001909	71	13
NM_001001911	72	10
NM_001002801	73	4
NM_001002824	74	5
NM_001003662	75	13
NM_001003663	76	5
NM_001003922	77	99
NM_001003923	78	3
NM_001003924	79	8
NM_001003925	80	6
NM_001003926	81	3
NM_001004028	82	4
NM_001004029	83	5
NM_001004031	84	6
NM_001004032	85	2
NM_001004033	86	4
NM_001004034	87	8
NM_001004036	88	7
NM_001004037	89	51
NM_001004039	90	3
NM_001004041	91	20
NM_001004042	92	5
NM_001004043	93	12
NM_001004044	94	31
NM_001004046	95	21
NM_001004047	96	19
NM_001004048	97	10
NM_001004049	98	5
NM_001004050	99	37
NM_001005149	100	4
NM_001005150	101	7
NM_001005151	102	99
NM_001005152	103	25
NM_001005153	104	4
NM_001005154	105	17
NM_001005155	106	7
NM_001005156	107	12
