Gene	ID	Count
5htr2c	1	4
A1BG	2	3
A2LD1	3	39
A2M	4	6
A2ML1	5	6
AAAS	6	9
AACS	7	33
AADAT	8	2
AAK1	9	37
AAMP	10	5
AANAT	11	11
AARS	12	21
AARSD1	13	20
AASDH	14	5
AASDHPPT	15	7
AASS	16	11
AATF	17	22
AATK	18	17
ABAT	19	6
ABCA1	20	22
ABCA10	21	23
ABCA12	22	6
ABCA13	23	49
ABCA2	24	2
ABCA3	25	17
ABCA4	26	23
ABCA5	27	15
ABCA6	28	39
ABCA7	29	15
ABCA9	30	13
ABCB1	31	14
ABCB10	32	3
ABCB6	33	2
ABCB7	34	2
ABCB8	35	18
ABCB9	36	23
ABCC1	37	49
ABCC10	38	8
ABCC11	39	2
ABCC3	40	10
ABCC4	41	26
ABCC5	42	13
ABCC8	43	8
ABCD1	44	1
ABCD2	45	3
ABCD3	46	16
ABCD4	47	7
ABCE1	48	9
ABCF2	49	9
ABCF3	50	4
ABCG1	51	18
ABCG2	52	14
ABCG4	53	9
ABCG8	54	16
ABHD1	55	11
ABHD10	56	6
ABHD11	57	4
ABHD12	58	20
ABHD12B	59	6
ABHD13	60	5
ABHD14A	61	8
ABHD14B	62	4
ABHD2	63	21
ABHD3	64	10
ABHD4	65	7
ABHD5	66	102
ABHD6	67	14
ABHD8	68	13
ABI1	69	26
ABI2	70	16
ABI3	71	6
ABL1	72	41
ABL2	73	14
ABLIM1	74	21
ABLIM3	75	6
ABO	76	5
ABP1	77	4
ABR	78	34
ABRA	79	2
ABT1	80	3
ABTB1	81	2
ABTB2	82	56
ACAA1	83	7
ACAA2	84	11
ACACA	85	43
ACACB	86	33
ACAD10	87	2
ACAD11	88	13
ACAD8	89	13
ACAD9	90	28
ACADL	91	6
ACADM	92	5
ACADS	93	17
ACADSB	94	15
ACADVL	95	4
ACAN	96	27
ACAP1	97	8
ACAP2	98	11
ACAP3	99	8
ACAT1	100	4
ACAT2	101	11
ACBD3	102	23
ACBD4	103	6
ACBD5	104	12
ACBD6	105	17
ACBD7	106	9
ACCN1	107	93
ACCN2	108	17
ACCN3	109	5
ACCS	110	9
ACCSL	111	7
ACD	112	6
ACE	113	6
ACE2	114	4
ACER2	115	14
ACER3	116	11
ACHE	117	12
ACIN1	118	5
ACLY	119	2
ACN9	120	12
ACO1	121	32
ACO2	122	12
ACOT11	123	8
ACOT12	124	4
ACOT13	125	5
ACOT2	126	10
ACOT4	127	13
ACOT7	128	25
ACOT8	129	12
ACOT9	130	5
ACOX1	131	5
ACOX2	132	14
ACOX3	133	5
ACP1	134	1
ACP2	135	15
ACP5	136	2
ACP6	137	7
ACPP	138	12
ACPT	139	13
ACRBP	140	4
ACRC	141	6
ACRV1	142	6
ACSBG1	143	11
ACSBG2	144	13
ACSF2	145	10
ACSF3	146	13
ACSL1	147	19
ACSL3	148	11
ACSL4	149	6
ACSL5	150	12
ACSL6	151	28
ACSM2A	152	3
ACSS1	153	18
ACSS2	154	20
ACSS3	155	5
ACTA1	156	4
ACTB	157	4
ACTC1	158	4
ACTG1	159	7
ACTG2	160	6
ACTL6A	161	19
ACTL6B	162	11
ACTL7A	163	5
ACTL7B	164	4
ACTL8	165	4
ACTL9	166	1
ACTN1	167	17
ACTN2	168	8
ACTN3	169	10
ACTN4	170	38
ACTR10	171	4
ACTR1A	172	10
ACTR1B	173	6
ACTR2	174	4
ACTR3	175	4
ACTR3B	176	30
ACTR6	177	3
ACTR8	178	6
ACTRT1	179	1
ACVR1	180	6
ACVR1B	181	20
ACVR2A	182	12
ACVR2B	183	13
ACVRL1	184	7
ACY1	185	5
ACYP1	186	10
ACYP2	187	24
ADA	188	8
ADAD1	189	2
ADAD2	190	4
ADAL	191	7
ADAM10	192	17
ADAM11	193	6
ADAM12	194	44
ADAM15	195	6
ADAM17	196	7
ADAM18	197	6
ADAM19	198	17
ADAM2	199	20
ADAM22	200	10
ADAM23	201	5
ADAM28	202	6
ADAM32	203	19
ADAM33	204	13
ADAM3A	205	5
ADAM8	206	177
ADAMDEC1	207	6
ADAMTS1	208	12
ADAMTS10	209	12
ADAMTS12	210	56
ADAMTS13	211	16
ADAMTS14	212	21
ADAMTS15	213	15
ADAMTS16	214	49
ADAMTS17	215	65
ADAMTS18	216	32
ADAMTS19	217	9
ADAMTS2	218	35
ADAMTS20	219	15
ADAMTS3	220	26
ADAMTS4	221	7
ADAMTS5	222	16
ADAMTS6	223	5
ADAMTS8	224	10
ADAMTS9	225	16
ADAMTSL1	226	27
ADAMTSL2	227	28
ADAMTSL3	228	22
ADAMTSL4	229	6
ADAMTSL5	230	5
ADAP1	231	32
ADAP2	232	11
ADAR	233	4
ADARB1	234	24
ADARB2	235	61
ADAT1	236	6
ADAT2	237	10
ADC	238	6
ADCK1	239	24
ADCK2	240	7
ADCK4	241	14
ADCK5	242	7
ADCY1	243	5
ADCY2	244	60
ADCY3	245	7
ADCY4	246	5
ADCY5	247	42
ADCY6	248	5
ADCY7	249	42
ADCY8	250	27
ADCY9	251	28
ADCYAP1	252	22
ADCYAP1R1	253	17
ADD1	254	65
ADD2	255	16
ADD3	256	19
ADH5	257	4
ADH6	258	1
ADHFE1	259	6
ADI1	260	15
ADIPOQ	261	3
ADIPOR1	262	10
ADIPOR2	263	14
ADK	264	42
ADM	265	7
ADM2	266	6
ADNP	267	7
ADNP2	268	3
ADORA1	269	7
ADORA2A	270	20
ADORA2B	271	7
ADORA3	272	14
ADPGK	273	11
ADPRH	274	5
ADPRHL1	275	21
ADPRHL2	276	10
ADRA1A	277	7
ADRA1B	278	15
ADRA1D	279	2
ADRA2A	280	5
ADRA2B	281	6
ADRB1	282	3
ADRB2	283	2
ADRB3	284	4
ADRBK1	285	5
ADRBK2	286	27
ADRM1	287	8
ADSL	288	14
ADSS	289	11
ADSSL1	290	6
AEBP1	291	4
AEBP2	292	6
AES	293	6
AFAP1	294	105
AFAP1L1	295	27
AFAP1L2	296	2
AFF1	297	41
AFF2	298	21
AFF3	299	89
AFF4	300	16
AFG3L2	301	24
AFMID	302	14
AFP	303	6
AGA	304	4
AGAP1	305	88
AGAP2	306	7
AGAP3	307	48
AGBL1	308	9
AGBL3	309	6
AGBL5	310	8
AGFG1	311	33
AGFG2	312	28
AGGF1	313	11
AGK	314	18
AGL	315	3
AGMAT	316	8
AGPAT1	317	3
AGPAT2	318	11
AGPAT3	319	18
AGPAT4	320	34
AGPAT5	321	18
AGPAT6	322	11
AGPAT9	323	37
AGPHD1	324	2
AGPS	325	19
AGRN	326	21
AGRP	327	2
AGT	328	4
AGTPBP1	329	24
AGTRAP	330	17
AGXT	331	11
AGXT2	332	11
AGXT2L1	333	5
AGXT2L2	334	8
AHCTF1	335	13
AHCY	336	10
AHCYL1	337	5
AHCYL2	338	31
AHDC1	339	3
AHI1	340	29
AHNAK	341	2
AHNAK2	342	4
AHR	343	18
AHRR	344	32
AHSA1	345	3
AHSA2	346	6
AHSG	347	2
AHSP	348	5
